CustomerID,Count,Country,State,City,Zip Code,Lat Long,Latitude,Longitude,Gender,Senior Citizen,Partner,Dependents,Tenure Months,Phone Service,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Monthly Charges,Total Charges,Churn Label,Churn Value,Churn Score,CLTV,Churn Reason,Total_Internet_Services,Total_Streaming,Total_Security,Extra_Charges,Price_per_Service,Total_to_Monthly_Ratio,Tenure_to_Monthly_Ratio,Monthly_to_Median_Ratio,Avg_Monthly_by_Contract,Diff_from_Contract_Monthly,Avg_Tenure_by_Contract,Diff_from_Contract_Tenure,Is_Full_Family,Is_Single_Senior,Is_Independent_Youth,Is_New_Customer,Is_Long_Term_Customer,Has_Internet_But_No_Service,Has_All_Services,Is_Auto_Payment,Risk_Fiber_MtM,Risk_Payment_Friction,Risk_High_Charge_MtM,Risk_No_TechSupport_Fiber,Tenure_Sq,Monthly_Charges_Sq,Tenure_x_Monthly
3668-QPYBK,1,United States,California,Los Angeles,90003,"33.964131, -118.272783",33.964131,-118.272783,Male,No,No,No,2,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,53.85,108.15,Yes,1,86,3239,Competitor made better offer,2,0,2,0.45000000000000284,17.95,2.0083561730072104,0.037140197374150904,0.7654584221748402,66.39849032258064,-12.54849032258064,18.036645161290323,-16.036645161290323,0,0,0,1,0,0,0,0,0,0,0,0,4,2899.8225,107.7
9237-HQITU,1,United States,California,Los Angeles,90005,"34.059281, -118.30742",34.059281,-118.30742,Female,No,No,Yes,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.7,151.65,Yes,1,67,2701,Moved,0,0,0,10.25,70.7,2.1449784802010634,0.028288539138820488,1.0049751243781095,66.39849032258064,4.301509677419361,18.036645161290323,-16.036645161290323,0,0,0,1,0,1,0,0,1,1,1,1,4,4998.490000000001,141.4
9305-CDSKC,1,United States,California,Los Angeles,90006,"34.048013, -118.293953",34.048013,-118.293953,Female,No,No,Yes,8,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.65,820.5,Yes,1,86,5372,Moved,3,2,1,23.299999999999955,24.9125,8.233817538001249,0.08028097538575259,1.416488983653163,66.39849032258064,33.251509677419364,18.036645161290323,-10.036645161290323,0,0,0,0,0,0,0,0,1,1,1,1,64,9930.122500000001,797.2
7892-POOKP,1,United States,California,Los Angeles,90010,"34.062125, -118.315709",34.062125,-118.315709,Female,No,Yes,Yes,28,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.8,3046.05,Yes,1,84,5003,Moved,4,2,2,111.65000000000009,20.96,29.065359822007654,0.26717554702523405,1.4896943852167734,66.39849032258064,38.401509677419355,18.036645161290323,9.963354838709677,1,0,0,0,0,0,0,0,1,1,1,0,784,10983.039999999999,2934.4
0280-XJGEX,1,United States,California,Los Angeles,90015,"34.039224, -118.266293",34.039224,-118.266293,Male,No,No,Yes,49,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.7,5036.3,Yes,1,89,5340,Competitor had better devices,4,2,2,-45.0,20.740000000000002,48.56605124724675,0.47251683003694983,1.4740582800284294,66.39849032258064,37.30150967741936,18.036645161290323,30.963354838709677,0,0,0,0,0,0,0,1,1,0,1,1,2401,10753.69,5081.3
4190-MFLUW,1,United States,California,Los Angeles,90020,"34.066367, -118.309868",34.066367,-118.309868,Female,No,Yes,No,10,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),55.2,528.35,Yes,1,78,5925,Competitor offered higher download speeds,2,0,2,-23.649999999999977,18.400000000000002,9.571556237036914,0.18115938747112545,0.7846481876332624,66.39849032258064,-11.19849032258064,18.036645161290323,-8.036645161290323,0,0,0,0,0,0,0,1,0,0,0,0,100,3047.0400000000004,552.0
8779-QRDMV,1,United States,California,Los Angeles,90022,"34.02381, -118.156582",34.02381,-118.156582,Male,Yes,No,No,1,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,39.65,39.65,Yes,1,100,5433,Competitor offered more data,2,1,1,0.0,13.216666666666667,0.999999747793254,0.02522067459756,0.5636105188343995,66.39849032258064,-26.748490322580643,18.036645161290323,-17.036645161290323,0,0,0,1,0,0,0,0,0,1,0,0,1,1572.1225,39.65
1066-JKSGK,1,United States,California,Los Angeles,90024,"34.066303, -118.435479",34.066303,-118.435479,Male,No,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.15,20.15,Yes,1,92,4832,Competitor made better offer,0,0,0,0.0,20.15,0.9999995037223307,0.04962776693411071,0.28642501776830137,66.39849032258064,-46.24849032258064,18.036645161290323,-17.036645161290323,0,0,0,1,0,0,0,0,0,0,0,0,1,406.0224999999999,20.15
6467-CHFZW,1,United States,California,Los Angeles,90028,"34.099869, -118.326843",34.099869,-118.326843,Male,No,Yes,Yes,47,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.35,4749.15,Yes,1,77,5789,Competitor had better devices,3,2,1,79.69999999999982,24.8375,47.802209582062446,0.4730749398012139,1.412224591329069,66.39849032258064,32.95150967741935,18.036645161290323,28.963354838709677,1,0,0,0,0,0,0,0,1,1,1,1,2209,9870.422499999999,4669.45
8665-UTDHZ,1,United States,California,Los Angeles,90029,"34.089953, -118.294824",34.089953,-118.294824,Male,No,Yes,No,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,30.2,30.2,Yes,1,97,2915,Competitor had better devices,1,0,1,0.0,15.1,0.9999996688742818,0.0331125718170292,0.4292821606254442,66.39849032258064,-36.19849032258064,18.036645161290323,-17.036645161290323,0,0,0,1,0,0,0,0,0,0,0,0,1,912.04,30.2
8773-HHUOZ,1,United States,California,Los Angeles,90032,"34.078821, -118.177576",34.078821,-118.177576,Female,No,No,No,17,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,64.7,1093.1,Yes,1,74,3022,Competitor offered higher download speeds,2,2,0,-6.800000000000182,21.566666666666666,16.894896925054567,0.2627511185856076,0.9196872778962333,66.39849032258064,-1.6984903225806391,18.036645161290323,-1.0366451612903234,0,0,0,0,0,0,0,0,0,0,0,0,289,4186.09,1099.9
6047-YHPVI,1,United States,California,Los Angeles,90039,"34.110845, -118.259595",34.110845,-118.259595,Male,No,No,Yes,5,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.7,316.9,Yes,1,66,2454,Competitor offered higher download speeds,0,0,0,-31.600000000000023,69.7,4.5466277551466625,0.07173600118565263,0.9907604832977969,66.39849032258064,3.301509677419361,18.036645161290323,-13.036645161290323,0,0,0,1,0,1,0,0,1,1,0,1,25,4858.09,348.5
5380-WJKOV,1,United States,California,Los Angeles,90041,"34.137412, -118.207607",34.137412,-118.207607,Male,No,No,Yes,34,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.35,3549.25,Yes,1,65,2941,Competitor offered higher download speeds,4,2,2,-66.64999999999964,21.27,33.373292583611416,0.31969907666205205,1.511727078891258,66.39849032258064,39.95150967741935,18.036645161290323,15.963354838709677,0,0,0,0,0,0,0,0,1,1,1,1,1156,11310.322499999998,3615.8999999999996
8168-UQWWF,1,United States,California,Los Angeles,90042,"34.11572, -118.192754",34.11572,-118.192754,Female,No,No,Yes,11,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),97.85,1105.4,Yes,1,70,5674,Competitor offered more data,3,2,1,29.050000000000182,24.4625,11.296881829649278,0.11241695325324955,1.3909026297085998,66.39849032258064,31.451509677419352,18.036645161290323,-7.036645161290323,0,0,0,0,0,0,0,1,1,0,1,1,121,9574.6225,1076.35
7760-OYPDY,1,United States,California,Los Angeles,90056,"33.987945, -118.370442",33.987945,-118.370442,Female,No,No,Yes,2,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.65,144.15,Yes,1,90,5586,Competitor offered more data,1,1,0,-17.150000000000006,40.325,1.7873525372160524,0.024798509014444012,1.146410803127221,66.39849032258064,14.251509677419364,18.036645161290323,-16.036645161290323,0,0,0,1,0,0,0,0,1,1,1,1,4,6504.422500000001,161.3
9420-LOJKX,1,United States,California,Los Angeles,90061,"33.92128, -118.274186",33.92128,-118.274186,Female,No,No,Yes,15,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.1,1426.4,Yes,1,82,2966,Competitor offered more data,4,2,2,-60.09999999999991,19.82,14.393540424466154,0.1513622450694001,1.4086709310589909,66.39849032258064,32.70150967741935,18.036645161290323,-3.0366451612903234,0,0,0,0,0,0,0,1,1,0,1,1,225,9820.81,1486.5
