City,Zip Code,Latitude,Longitude,Gender,Senior Citizen,Partner,Dependents,Tenure Months,Phone Service,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Monthly Charges,Total Charges,Churn Value,TotalServices,AvgCost,ContractScore,LoyaltyScore,ChargeDensity,ChargePerTenure,MonthlyToTotal,IsFiber,SecurityServices,StreamingCount,StreamRatio,AutoPay,IsElecCheck,HighRiskFlag,Is_High_Risk_Combo,IsMonthToMonth,LowTenureHighCharge,NoProtection,SeniorAlone,TenureContractRatio,Value_Score,Contract_Risk,Payment_Risk,Spent_Intensity,Tenure_Group
Los Angeles,90003,33.964131,-118.272783,1,0,0,0,2,1,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,1,Mailed check,53.85,108.15,1,4,10.77,0,2,36.050000000000004,17.95,0.4933577645442052,0,2,0,0.0,0,0,0,0,1,0,0,0,2.0,0.03646308113035551,2,0,36.050000000000004,New(0~12)
Los Angeles,90005,34.059281,-118.30742,0,0,0,1,2,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,70.7,151.65,1,2,23.566666666666666,0,2,50.550000000000004,23.566666666666666,0.46315099901735995,1,0,0,0.0,0,1,1,1,1,1,1,0,2.0,0.0,2,1,50.550000000000004,New(0~12)
Los Angeles,90006,34.048013,-118.293953,0,0,0,1,8,1,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,99.65,820.5,1,6,14.235714285714286,0,8,91.16666666666667,11.072222222222223,0.12130249543517956,1,1,2,0.2857142857142857,0,1,1,1,1,1,0,0,8.0,0.009935419771485345,2,1,91.16666666666667,New(0~12)
Los Angeles,90010,34.062125,-118.315709,0,0,1,1,28,1,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,1,Electronic check,104.8,3046.05,1,7,13.1,0,28,105.03620689655173,3.613793103448276,0.03439392199012159,1,2,2,0.25,0,1,0,1,1,0,0,0,28.0,0.01890359168241966,2,1,105.03620689655173,Stable(25~48)
Los Angeles,90015,34.039224,-118.266293,1,0,0,1,49,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,1,Bank transfer (automatic),103.7,5036.3,1,7,12.9625,0,49,100.726,2.074,0.020586425267504416,1,2,2,0.25,1,0,1,1,1,0,0,0,49.0,0.019102196752626553,2,0,100.726,Loyal(49~)
Los Angeles,90020,34.066367,-118.309868,0,0,1,0,10,1,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,0,Credit card (automatic),55.2,528.35,1,4,11.040000000000001,0,10,48.03181818181818,5.0181818181818185,0.10427883253046188,0,2,0,0.0,1,0,0,0,1,0,0,0,10.0,0.03558718861209964,2,0,48.03181818181818,New(0~12)
Los Angeles,90022,34.02381,-118.156582,1,1,0,0,1,0,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,1,Electronic check,39.65,39.65,1,3,9.9125,0,1,19.825,19.825,0.97539975399754,0,1,1,0.25,0,1,0,0,1,0,0,1,1.0,0.024600246002460024,2,1,19.825,New(0~12)
Los Angeles,90024,34.066303,-118.435479,1,0,0,0,1,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,20.15,20.15,1,1,10.075,0,1,10.075,10.075,0.9527186761229315,0,0,0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,2,0,10.075,New(0~12)
Los Angeles,90028,34.099869,-118.326843,1,0,1,1,47,1,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,1,Electronic check,99.35,4749.15,1,6,14.192857142857141,0,47,98.940625,2.0697916666666667,0.020915128995926444,1,1,2,0.2857142857142857,0,1,1,1,1,0,0,0,47.0,0.009965122072745391,2,1,98.940625,Stable(25~48)
Los Angeles,90029,34.089953,-118.294824,1,0,1,0,1,0,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,0,Electronic check,30.2,30.2,1,2,10.066666666666666,0,1,15.1,15.1,0.967948717948718,0,1,0,0.0,0,1,0,0,1,0,0,0,1.0,0.032051282051282055,2,1,15.1,New(0~12)
